{:ts=>2020-03-06 22:32:33 -0800, :st=>"al", :error=>[]}
{:ts=>2020-03-07 14:07:27 -0800, :st=>"al", :positive=>0, :error=>[]}
{:ts=>2020-03-07 22:48:57 -0800, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-08 13:27:25 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-08 16:31:43 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-08 16:47:15 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-08 16:51:53 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-08 17:03:00 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-08 21:48:45 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-08 21:59:45 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-09 08:22:06 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-09 08:22:33 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-09 08:23:11 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
{:ts=>2020-03-09 08:26:33 -0700, :st=>"al", :source=>"http://www.alabamapublichealth.gov/", :positive=>0, :error=>[]}
