state	tested	positive	deaths	tested crawl date	positive crawl date	deaths crawl date	tested source	positive source	deaths source
AK	23	0		March 8, 2020	March 8, 2020		http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx	http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx	
AL		0			2020-03-08 13:27:25 -0700			http://www.alabamapublichealth.gov/	
AR	6	0		March 6, 2020	March 6, 2020		https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus	https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus	
AZ	56	5	0	3/8/2020 9:00:34 AM	3/8/2020 9:00:34 AM	3/8/2020 9:00:34 AM	https://tableau.azdhs.gov/views/COVID-19Table/COVID-19table?:isGuestRedirectFromVizportal=y&:embed=y	https://tableau.azdhs.gov/views/COVID-19Table/COVID-19table?:isGuestRedirectFromVizportal=y&:embed=y	https://tableau.azdhs.gov/views/COVID-19Table/COVID-19table?:isGuestRedirectFromVizportal=y&:embed=y
CA	515	88	1	March 4, 2020	March 7, 2020, 10 a.m. Pacific Time	March 7, 2020, 10 a.m. Pacific Time	https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/nCOV2019.aspx	https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/nCOV2019.aspx	https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/nCOV2019.aspx
CO	216	8		March 7, 5:37 p.m.	March 7, 5:37 p.m.		https://docs.google.com/document/d/e/2PACX-1vRSxDeeJEaDxir0cCd9Sfji8ZPKzNaCPZnvRCbG63Oa1ztz4B4r7xG_wsoC9ucd_ei3--Pz7UD50yQD/pub	https://docs.google.com/document/d/e/2PACX-1vRSxDeeJEaDxir0cCd9Sfji8ZPKzNaCPZnvRCbG63Oa1ztz4B4r7xG_wsoC9ucd_ei3--Pz7UD50yQD/pub	
CT	38	1		12:00 p.m. on Sunday, March 8, 2020:	12:00 p.m. on Sunday, March 8, 2020:		https://portal.ct.gov/Coronavirus	https://portal.ct.gov/Coronavirus	
DC	11	1		March 7 2020 at 9:15 pm	March 7 2020 at 9:15 pm		https://coronavirus.dc.gov/page/coronavirus-surveillance-data	https://coronavirus.dc.gov/page/coronavirus-surveillance-data	
DE	10	0		3/06/2020, 2:10 P.M	3/06/2020, 2:10 P.M		https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html	https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html	
FL	243	17	2	9:50 a.m. ET 3/8/2020	9:50 a.m. ET 3/8/2020	9:50 a.m. ET 3/8/2020	http://www.floridahealth.gov/diseases-and-conditions/COVID-19/	http://www.floridahealth.gov/diseases-and-conditions/COVID-19/	http://www.floridahealth.gov/diseases-and-conditions/COVID-19/
